zipcode,market,Days_Count,Claim_Count,AvgClaimsPerDay,radius,area,adj_zip_30
30034,Atlanta GA,15,20,1.3333333333333333,4.0,16.95,"['30004' '30005' '30008' '30009' '30012' '30013' '30014' '30016' '30017'
 '30019' '30021' '30022' '30024' '30030' '30032' '30033' '30034' '30035'
 '30038' '30039' '30043' '30044' '30045' '30046' '30047' '30052' '30054'
 '30058' '30060' '30062' '30064' '30066' '30067' '30068' '30071' '30072'
 '30075' '30076' '30078' '30079' '30080' '30082' '30083' '30084' '30087'
 '30088' '30092' '30093' '30094' '30096' '30097' '30106' '30122' '30126'
 '30127' '30134' '30135' '30168' '30213' '30214' '30215' '30223' '30228'
 '30234' '30236' '30238' '30248' '30252' '30253' '30260' '30268' '30269'
 '30273' '30274' '30281' '30288' '30290' '30291' '30294' '30296' '30297'
 '30303' '30305' '30306' '30307' '30308' '30309' '30310' '30311' '30312'
 '30313' '30314' '30315' '30316' '30317' '30318' '30319' '30324' '30326'
 '30327' '30328' '30329' '30331' '30337' '30338' '30339' '30340' '30341'
 '30342' '30344' '30345' '30346' '30349' '30350' '30354' '30360' '30363']"
30035,Atlanta GA,7,7,1.0,3.0,8.55,"['30004' '30005' '30008' '30009' '30011' '30012' '30013' '30014' '30016'
 '30017' '30019' '30021' '30022' '30024' '30025' '30030' '30032' '30033'
 '30034' '30035' '30038' '30039' '30043' '30044' '30045' '30046' '30047'
 '30052' '30054' '30058' '30060' '30062' '30064' '30066' '30067' '30068'
 '30071' '30072' '30075' '30076' '30078' '30079' '30080' '30082' '30083'
 '30084' '30087' '30088' '30092' '30093' '30094' '30096' '30097' '30106'
 '30122' '30126' '30127' '30168' '30213' '30214' '30215' '30228' '30234'
 '30236' '30238' '30248' '30252' '30253' '30260' '30273' '30274' '30281'
 '30288' '30290' '30291' '30294' '30296' '30297' '30303' '30305' '30306'
 '30307' '30308' '30309' '30310' '30311' '30312' '30313' '30314' '30315'
 '30316' '30317' '30318' '30319' '30324' '30326' '30327' '30328' '30329'
 '30331' '30337' '30338' '30339' '30340' '30341' '30342' '30344' '30345'
 '30346' '30349' '30350' '30354' '30360' '30363' '30518' '30519' '30655'
 '30656']"
30038,Atlanta GA,13,15,1.1538461538461537,5.0,29.06,"['30005' '30008' '30009' '30012' '30013' '30014' '30016' '30017' '30019'
 '30021' '30022' '30024' '30025' '30030' '30032' '30033' '30034' '30035'
 '30038' '30039' '30043' '30044' '30045' '30046' '30047' '30052' '30054'
 '30055' '30058' '30060' '30062' '30067' '30068' '30071' '30072' '30075'
 '30076' '30078' '30079' '30080' '30082' '30083' '30084' '30087' '30088'
 '30092' '30093' '30094' '30096' '30097' '30106' '30122' '30126' '30168'
 '30213' '30214' '30215' '30223' '30228' '30233' '30234' '30236' '30238'
 '30248' '30252' '30253' '30260' '30273' '30274' '30281' '30288' '30290'
 '30291' '30294' '30296' '30297' '30303' '30305' '30306' '30307' '30308'
 '30309' '30310' '30311' '30312' '30313' '30314' '30315' '30316' '30317'
 '30318' '30319' '30324' '30326' '30327' '30328' '30329' '30331' '30337'
 '30338' '30339' '30340' '30341' '30342' '30344' '30345' '30346' '30349'
 '30350' '30354' '30360' '30363' '30620' '30655' '30656']"
30039,Atlanta GA,14,16,1.1428571428571428,5.0,25.04,"['30004' '30005' '30009' '30011' '30012' '30013' '30014' '30016' '30017'
 '30019' '30021' '30022' '30024' '30025' '30028' '30030' '30032' '30033'
 '30034' '30035' '30038' '30039' '30040' '30041' '30043' '30044' '30045'
 '30046' '30047' '30052' '30054' '30055' '30058' '30062' '30067' '30068'
 '30071' '30072' '30075' '30076' '30078' '30079' '30080' '30082' '30083'
 '30084' '30087' '30088' '30092' '30093' '30094' '30096' '30097' '30236'
 '30252' '30253' '30260' '30273' '30274' '30281' '30288' '30294' '30296'
 '30297' '30303' '30305' '30306' '30307' '30308' '30309' '30310' '30311'
 '30312' '30313' '30314' '30315' '30316' '30317' '30318' '30319' '30324'
 '30326' '30327' '30328' '30329' '30331' '30337' '30338' '30339' '30340'
 '30341' '30342' '30344' '30345' '30346' '30349' '30350' '30354' '30360'
 '30363' '30517' '30518' '30519' '30542' '30548' '30566' '30620' '30655'
 '30656' '30663' '30666' '30680']"
30040,Atlanta GA,19,21,1.105263157894737,7.0,58.68,"['30004' '30005' '30009' '30011' '30017' '30019' '30021' '30022' '30024'
 '30028' '30033' '30039' '30040' '30041' '30043' '30044' '30045' '30046'
 '30047' '30060' '30062' '30066' '30067' '30068' '30071' '30075' '30076'
 '30078' '30084' '30087' '30092' '30093' '30096' '30097' '30102' '30107'
 '30114' '30115' '30143' '30144' '30175' '30183' '30188' '30189' '30319'
 '30326' '30327' '30328' '30329' '30338' '30339' '30340' '30341' '30342'
 '30345' '30346' '30350' '30360' '30501' '30504' '30506' '30507' '30517'
 '30518' '30519' '30527' '30533' '30534' '30542' '30548' '30566' '30567']"
30041,Atlanta GA,14,14,1.0,11.0,58.83,"['30004' '30005' '30009' '30011' '30017' '30019' '30021' '30022' '30024'
 '30028' '30033' '30039' '30040' '30041' '30043' '30044' '30045' '30046'
 '30047' '30052' '30062' '30066' '30067' '30068' '30071' '30072' '30075'
 '30076' '30078' '30079' '30083' '30084' '30087' '30092' '30093' '30096'
 '30097' '30107' '30114' '30115' '30143' '30183' '30188' '30189' '30319'
 '30326' '30327' '30328' '30329' '30338' '30340' '30341' '30342' '30345'
 '30346' '30350' '30360' '30501' '30504' '30506' '30507' '30517' '30518'
 '30519' '30527' '30533' '30534' '30542' '30543' '30548' '30554' '30566'
 '30567' '30620' '30680']"
30043,Atlanta GA,17,24,1.411764705882353,6.0,32.53,"['30004' '30005' '30009' '30011' '30012' '30013' '30017' '30019' '30021'
 '30022' '30024' '30025' '30028' '30030' '30032' '30033' '30034' '30035'
 '30038' '30039' '30040' '30041' '30043' '30044' '30045' '30046' '30047'
 '30052' '30054' '30058' '30062' '30066' '30067' '30068' '30071' '30072'
 '30075' '30076' '30078' '30079' '30080' '30083' '30084' '30087' '30088'
 '30092' '30093' '30094' '30096' '30097' '30115' '30188' '30294' '30303'
 '30305' '30306' '30307' '30308' '30309' '30310' '30312' '30313' '30314'
 '30315' '30316' '30317' '30318' '30319' '30324' '30326' '30327' '30328'
 '30329' '30338' '30339' '30340' '30341' '30342' '30345' '30346' '30350'
 '30360' '30363' '30501' '30504' '30506' '30507' '30517' '30518' '30519'
 '30534' '30542' '30543' '30548' '30549' '30566' '30567' '30620' '30622'
 '30655' '30656' '30666' '30680']"
30044,Atlanta GA,22,26,1.1818181818181819,5.0,24.49,"['30004' '30005' '30008' '30009' '30011' '30012' '30013' '30014' '30016'
 '30017' '30019' '30021' '30022' '30024' '30025' '30028' '30030' '30032'
 '30033' '30034' '30035' '30038' '30039' '30040' '30041' '30043' '30044'
 '30045' '30046' '30047' '30052' '30054' '30058' '30060' '30062' '30066'
 '30067' '30068' '30071' '30072' '30075' '30076' '30078' '30079' '30080'
 '30082' '30083' '30084' '30087' '30088' '30092' '30093' '30094' '30096'
 '30097' '30115' '30126' '30188' '30260' '30273' '30281' '30288' '30294'
 '30297' '30303' '30305' '30306' '30307' '30308' '30309' '30310' '30311'
 '30312' '30313' '30314' '30315' '30316' '30317' '30318' '30319' '30324'
 '30326' '30327' '30328' '30329' '30331' '30337' '30338' '30339' '30340'
 '30341' '30342' '30344' '30345' '30346' '30350' '30354' '30360' '30363'
 '30504' '30507' '30517' '30518' '30519' '30542' '30548' '30566' '30567'
 '30620' '30655' '30656' '30666' '30680']"
30045,Atlanta GA,17,21,1.2352941176470589,6.0,21.74,"['30004' '30005' '30009' '30011' '30012' '30013' '30014' '30016' '30017'
 '30019' '30021' '30022' '30024' '30025' '30028' '30030' '30032' '30033'
 '30034' '30035' '30038' '30039' '30040' '30041' '30043' '30044' '30045'
 '30046' '30047' '30052' '30054' '30058' '30062' '30067' '30068' '30071'
 '30072' '30075' '30076' '30078' '30079' '30083' '30084' '30087' '30088'
 '30092' '30093' '30094' '30096' '30097' '30288' '30294' '30303' '30305'
 '30306' '30307' '30308' '30309' '30310' '30312' '30313' '30314' '30315'
 '30316' '30317' '30318' '30319' '30324' '30326' '30327' '30328' '30329'
 '30338' '30339' '30340' '30341' '30342' '30345' '30346' '30350' '30360'
 '30363' '30501' '30504' '30506' '30507' '30517' '30518' '30519' '30542'
 '30548' '30549' '30566' '30567' '30620' '30622' '30655' '30656' '30666'
 '30680']"
30046,Atlanta GA,9,12,1.3333333333333333,4.0,15.66,"['30004' '30005' '30009' '30011' '30012' '30013' '30014' '30016' '30017'
 '30019' '30021' '30022' '30024' '30025' '30028' '30030' '30032' '30033'
 '30034' '30035' '30038' '30039' '30040' '30041' '30043' '30044' '30045'
 '30046' '30047' '30052' '30054' '30058' '30062' '30067' '30068' '30071'
 '30072' '30075' '30076' '30078' '30079' '30083' '30084' '30087' '30088'
 '30092' '30093' '30094' '30096' '30097' '30288' '30294' '30303' '30305'
 '30306' '30307' '30308' '30309' '30310' '30312' '30313' '30314' '30315'
 '30316' '30317' '30318' '30319' '30324' '30326' '30327' '30328' '30329'
 '30338' '30339' '30340' '30341' '30342' '30345' '30346' '30350' '30360'
 '30363' '30501' '30504' '30506' '30507' '30517' '30518' '30519' '30542'
 '30548' '30549' '30566' '30567' '30620' '30622' '30655' '30656' '30666'
 '30680']"
30047,Atlanta GA,21,27,1.2857142857142858,5.0,27.71,"['30004' '30005' '30008' '30009' '30011' '30012' '30013' '30014' '30016'
 '30017' '30019' '30021' '30022' '30024' '30025' '30028' '30030' '30032'
 '30033' '30034' '30035' '30038' '30039' '30040' '30041' '30043' '30044'
 '30045' '30046' '30047' '30052' '30054' '30058' '30060' '30062' '30064'
 '30066' '30067' '30068' '30071' '30072' '30075' '30076' '30078' '30079'
 '30080' '30082' '30083' '30084' '30087' '30088' '30092' '30093' '30094'
 '30096' '30097' '30106' '30115' '30126' '30144' '30168' '30188' '30236'
 '30252' '30253' '30260' '30273' '30274' '30281' '30288' '30294' '30296'
 '30297' '30303' '30305' '30306' '30307' '30308' '30309' '30310' '30311'
 '30312' '30313' '30314' '30315' '30316' '30317' '30318' '30319' '30324'
 '30326' '30327' '30328' '30329' '30331' '30337' '30338' '30339' '30340'
 '30341' '30342' '30344' '30345' '30346' '30349' '30350' '30354' '30360'
 '30363' '30517' '30518' '30519' '30542' '30548' '30566' '30620' '30655'
 '30656' '30680']"
